year,country,"Life expectancy at birth, total (years)",Population growth (annual %),"School enrollment, tertiary (% gross)",Internet Users(%),GDP per capita (current US$),"Inflation, consumer prices (annual %)"
2016,FRA,82.5731707317073,0.263868788565368,64.7276763916016,79.26981354,37062.5335723839,0.183334861123848
2015,FRA,82.3219512195122,0.355569240058298,62.7859306335449,78.00603485,36652.9223052178,0.0375143805125363
2014,FRA,82.719512195122,0.46824634207038,61.5104789733887,83.75,43068.5487241732,0.507758822937957
2013,FRA,82.219512195122,0.516539661307546,59.8487586975098,81.9197998,42602.7179652671,0.863715497861826
2012,FRA,81.9682926829268,0.483953489768883,57.9090118408203,81.44000244,40870.8523645734,1.95419531613507
2020,DEU,81.0414634146342,0.0816931586494595,72.9891967773438,89.8129425,46772.8253507537,0.144877925813972
2019,DEU,81.2926829268293,0.22551987421288,73.5210571289063,88.13451385,46793.6867615995,1.44565976888251
2018,DEU,80.8926829268293,0.300526701992065,70.342643737793,87.03710938,47939.2782884496,1.73216879766946
2017,DEU,80.9926829268293,0.373724559895838,70.2466506958008,84.39415741,44652.5891722723,1.50949485109622
2016,DEU,80.990243902439,0.807218538573871,69.5805892944336,84.16520691,42136.1207908003,0.491747008445241
2015,DEU,80.6414634146341,0.865702643950251,67.7468719482422,87.58979797,41103.2564363768,0.514426137125476
2014,DEU,81.090243902439,0.416877359168292,65.50390625,86.19000244,48023.8699845455,0.90679400043421
2013,DEU,80.490243902439,0.272900214681538,61.3868408203125,84.16999817,46298.9229177345,1.50472330251883
2020,ITA,82.1951219512195,-0.487095091717782,69.4652786254883,70.48342896,31918.6934933773,-0.13770757391657
2019,ITA,83.4975609756098,-1.15302842389952,66.0515975952148,76.09999847,33673.7509627414,0.611246943765291
2018,ITA,83.3463414634146,-0.190063640113791,64.291618347168,74.38718414,34622.1696664735,1.13748763600395
2017,ITA,82.9463414634147,-0.14986111697397,61.9329986572266,63.0773468,32406.7203150137,1.22653316645808
2016,ITA,83.2439024390244,-0.169884073301448,60.937328338623,61.32425308,30960.7315088911,-0.0940166569157271
2015,ITA,82.5439024390244,-0.0963761331392095,60.9394607543945,58.14173508,30242.3861352184,0.0387903996579552
2014,ITA,83.090243902439,0.917504095962437,61.702751159668,55.63846207,35565.7213771491,0.241047429826773
2013,ITA,82.690243902439,1.1592511168095,62.2961616516113,58.45930099,35560.0814062291,1.21999342274305
2012,ITA,82.2390243902439,0.269541239520996,64.1335525512695,55.82999802,35051.5212697703,3.04136333226773
2019,JPN,84.3563414634146,-0.140464977878172,64.6171188354492,92.73040009,40415.9567649547,0.468776159383912
2018,JPN,84.2109756097561,-0.126880068088791,64.1038436889648,91.27999878,39751.1330982711,0.989094598021806
2017,JPN,84.099756097561,-0.081874296046114,63.8070411682129,91.72654724,38834.0529341227,0.484199796126387
2016,JPN,83.9848780487805,-0.0511374152133631,63.5844383239746,93.182724,39375.4731620781,-0.127258844489691
2015,JPN,83.7939024390244,-0.106124993746747,63.2509803771973,91.05802917,34960.6393843385,0.795279630579775
2014,JPN,83.5878048780488,-0.132694222147042,62.9414291381836,89.10683441,38475.3952461838,2.75922671353253
2013,JPN,83.3319512195122,-0.144271883387076,62.1167411804199,88.21942902,40898.6478964744,0.335037912184809
2020,PRT,80.9756097560976,0.10511412524675,70.3820877075195,78.26165771,22242.4064179716,-0.0124383299576167
2019,PRT,81.6756097560976,0.0237334946497115,67.9307022094727,75.34637451,23330.8172889316,0.338178410046125
2018,PRT,81.3243902439024,-0.160104021146769,65.6626586914063,74.66096497,23562.5545228187,0.99371568346825
2017,PRT,81.4243902439025,-0.243889410358812,63.9358100891113,73.79121399,21490.4298631042,1.36861411643481
2016,PRT,81.1243902439025,-0.315459016997883,63.2556495666504,70.42356873,19991.9724878811,0.607397074641661
2015,PRT,81.1243902439025,-0.414141101993213,61.7563285827637,68.63285828,19250.1065376852,0.487938623904736
2014,PRT,81.1219512195122,-0.539190466792077,65.5035705566406,64.58999634,22103.7009703317,-0.278153367467421
2013,PRT,80.7219512195122,-0.548815210952228,66.1367416381836,62.09560013,21653.1959752226,0.27441666666668
2012,PRT,80.3731707317073,-0.405421787747567,68.5102920532227,60.33999634,20563.7136012629,2.77333854051579
2020,GBR,80.3512195121951,0.365758263815142,69.4837265014648,94.81819916,40318.4169225055,0.98948670377243
2019,GBR,81.4048780487805,0.564131113399897,65.7733612060547,92.51663208,42747.080460496,1.73810460086511
2018,GBR,81.2560975609756,0.605929132212552,61.3828887939453,90.69200897,43306.3083049317,2.29283990345939
2017,GBR,81.2560975609756,0.679374473924223,59.9955711364746,90.42455292,40622.6893883232,2.55775577557754
2016,GBR,81.1560975609756,0.757874492811929,58.4256210327148,94.77580261,41146.0773555246,1.00841736811403
2015,GBR,80.9560975609756,0.792367505802859,56.4584884643555,92.00029755,45071.0743234873,0.368046842325369
2014,GBR,81.3048780487805,0.736463978721671,56.5644989013672,91.61000061,47447.5889322667,1.45112016293279
2013,GBR,81.0048780487805,0.669740535540783,57.038761138916,89.84410095,43449.0917173139,2.29166666666666
2012,GBR,80.9048780487805,0.695353132322269,59.4021186828613,87.47999573,42485.5860695397,2.57323479654528
2020,CHE,83.0,0.730676195047382,65.3340911865234,94.19999695,85656.322666307,-0.725874933313391
2019,CHE,83.9048780487805,0.713313668444329,63.3080596923828,93.14608765,84121.9310304414,0.362886179940635
2018,CHE,83.7536585365854,0.736633975172522,61.3774490356445,91.80000305,85216.6429514169,0.936335464113605
2017,CHE,83.5512195121951,0.933155888738653,59.56298828125,89.6861496,82254.3769269767,0.533787839825886
2016,CHE,83.6024390243903,1.09203117387253,58.0469512939453,89.13468933,82153.0745447889,-0.434618664285843
2015,CHE,82.8975609756098,1.13833715247736,57.7073516845703,87.47905731,83806.4476003837,-1.14390867228178
2014,CHE,83.1975609756098,1.22010397343287,57.2297210693359,87.40000153,88724.9909402638,-0.0132025387515987
2013,CHE,82.7975609756098,1.14987975781229,56.270149230957,86.33999634,87304.3305813557,-0.217323155115639
2012,CHE,82.6975609756098,1.06181932886789,55.5204696655273,85.19999695,85836.2076767359,-0.692552018105236
2020,SWE,82.3560975609756,0.722703912882934,84.5162200927734,94.53942871,52837.9039778149,0.497367318853562
2019,SWE,83.109756097561,1.01372226345511,77.3291091918945,94.49344635,51939.4297445291,1.78415097403832
2018,SWE,82.5585365853659,1.16164515996039,72.4611663818359,89.2469635,54589.0603860606,1.95353530127029
2017,SWE,82.409756097561,1.34744505956262,66.9882431030273,93.00626373,53791.5087298403,1.79449904665596
2016,SWE,82.3073170731707,1.25645398510305,63.5480194091797,89.65094757,51965.1571531985,0.984269244577978
2015,SWE,82.2048780487805,1.05745468551674,62.2824783325195,90.61019897,51545.4836095322,-0.0467847449832651
2014,SWE,82.2536585365854,0.992219728591882,62.180591583252,92.51999664,60020.3604576572,-0.17963849411465
